date,rookery,section,obs,resample,count
8/16/16,POL,2,RT,1,3
8/16/16,POL,2,RT,1,2
8/16/16,POL,2,RT,1,1
8/16/16,POL,2,RT,1,3
8/16/16,POL,2,RT,1,1
8/16/16,POL,2,RT,1,2
8/16/16,POL,2,RT,1,4
8/16/16,POL,2,RT,1,3
8/16/16,POL,2,RT,1,2
8/16/16,POL,2,RT,1,5
8/16/16,POL,2,RT,1,1
8/16/16,POL,2,RT,1,0
8/16/16,POL,2,RT,1,4
8/16/16,POL,2,RT,1,5
8/16/16,POL,2,RT,1,1
8/16/16,POL,2,RT,1,4
8/16/16,POL,2,RT,1,2
8/16/16,POL,2,RT,1,4
8/16/16,POL,1,RT,1,2
8/16/16,POL,1,RT,1,3
8/16/16,POL,1,RT,1,2
8/16/16,POL,1,RT,1,1
8/16/16,POL,1,RT,1,5
8/16/16,POL,1,RT,1,3
8/16/16,POL,1,RT,1,2
8/16/16,POL,1,RT,1,4
8/16/16,POL,1,RT,1,3
8/17/16,REE,1011,RT,1,1
8/17/16,REE,1011,RT,1,3
8/17/16,REE,1011,RT,1,3
8/17/16,REE,1011,RT,1,6
8/17/16,REE,1011,RT,1,4
8/17/16,REE,1011,RT,1,4
8/17/16,REE,9,RT,1,3
8/17/16,REE,9,RT,1,1
8/17/16,REE,9,RT,1,5
8/17/16,REE,9,RT,1,3
8/17/16,REE,9,RT,1,3
8/17/16,REE,9,RT,1,3
8/17/16,REE,9,RT,1,2
8/17/16,REE,9,RT,1,5
8/17/16,REE,9,RT,1,2
8/17/16,REE,9,RT,1,3
8/17/16,REE,9,RT,1,5
8/17/16,REE,9,RT,1,5
8/17/16,REE,8,RT,1,3
8/17/16,REE,8,RT,1,3
8/17/16,REE,8,RT,1,1
8/17/16,REE,8,RT,1,2
8/17/16,REE,8,RT,1,7
8/17/16,REE,8,RT,1,4
8/17/16,REE,8,RT,1,2
8/17/16,REE,8,RT,1,2
8/17/16,REE,8,RT,1,1
8/17/16,REE,8,RT,1,2
8/17/16,REE,8,RT,1,2
8/17/16,REE,8,RT,1,2
8/17/16,REE,8,RT,1,2
8/17/16,REE,8,RT,1,3
8/17/16,REE,8,RT,1,2
8/17/16,REE,8,RT,1,2
8/17/16,REE,67,RT,1,2
8/17/16,REE,67,RT,1,1
8/17/16,REE,67,RT,1,2
8/17/16,REE,67,RT,1,2
8/17/16,REE,67,RT,1,2
8/17/16,REE,67,RT,1,5
8/17/16,REE,67,RT,1,3
8/17/16,REE,67,RT,1,3
8/17/16,REE,67,RT,1,3
8/17/16,REE,67,RT,1,1
8/17/16,REE,67,RT,1,1
8/17/16,REE,67,RT,1,4
8/17/16,REE,67,RT,1,4
8/17/16,REE,67,RT,1,2
8/17/16,REE,67,RT,1,6
8/17/16,REE,67,RT,1,4
8/17/16,REE,67,RT,1,1
8/17/16,REE,67,RT,1,2
8/17/16,REE,5,RT,1,2
8/17/16,REE,5,RT,1,1
8/17/16,REE,5,RT,1,4
8/17/16,REE,5,RT,1,3
8/17/16,REE,5,RT,1,1
8/17/16,REE,5,RT,1,3
8/17/16,REE,4,RT,1,1
8/17/16,REE,4,RT,1,3
8/17/16,REE,4,RT,1,4
8/17/16,REE,4,RT,1,4
8/17/16,REE,4,RT,1,3
8/17/16,REE,4,RT,1,1
8/17/16,REE,4,RT,1,4
8/17/16,REE,4,RT,1,3
8/17/16,REE,4,RT,1,1
8/17/16,REE,4,RT,1,4
8/17/16,REE,4,RT,1,6
8/17/16,REE,3,RT,1,2
8/17/16,REE,3,RT,1,4
8/17/16,REE,3,RT,1,1
8/17/16,REE,3,RT,1,0
8/17/16,REE,3,RT,1,1
8/17/16,REE,3,RT,1,3
8/17/16,REE,3,RT,1,4
8/17/16,REE,3,RT,1,4
8/17/16,REE,2,RT,1,3
8/17/16,REE,2,RT,1,4
8/17/16,REE,2,RT,1,2
8/17/16,REE,2,RT,1,2
8/17/16,REE,2,RT,1,3
8/17/16,REE,2,RT,1,3
8/17/16,REE,2,RT,1,3
8/17/16,REE,2,RT,1,1
8/17/16,REE,2,RT,1,3
8/17/16,REE,2,RT,1,0
8/17/16,REE,2,RT,1,2
8/17/16,REE,2,RT,1,1
8/17/16,REE,2,RT,1,4
8/17/16,REE,2,RT,1,4
8/17/16,REE,2,RT,1,1
8/17/16,REE,2,RT,1,4
8/17/16,REE,2,RT,1,5
8/17/16,REE,2,RT,1,1
8/17/16,REE,2,RT,1,3
8/17/16,REE,2,RT,1,1
8/17/16,REE,1,RT,1,2
8/17/16,REE,1,RT,1,3
8/17/16,REE,1,RT,1,4
8/17/16,REE,1,RT,1,3
8/17/16,REE,1,RT,1,3
8/17/16,ARD,1,RT,1,3
8/17/16,ARD,1,RT,1,4
8/17/16,ARD,1,RT,1,2
8/17/16,ARD,1,RT,1,3
8/17/16,ARD,1,RT,1,5
8/17/16,GOR,6,RT,1,3
8/17/16,GOR,6,RT,1,4
8/17/16,GOR,6,RT,1,1
8/17/16,GOR,5,RT,1,2
8/17/16,GOR,5,RT,1,7
8/17/16,GOR,5,RT,1,5
8/17/16,GOR,4,RT,1,3
8/17/16,GOR,4,RT,1,1
8/17/16,GOR,3,RT,1,3
8/17/16,GOR,3,RT,1,3
8/17/16,GOR,3,RT,1,2
8/17/16,GOR,3,RT,1,4
8/17/16,GOR,3,RT,1,2
8/17/16,GOR,3,RT,1,2
8/17/16,GOR,3,RT,1,5
8/17/16,GOR,3,RT,1,4
8/17/16,GOR,3,RT,1,0
8/17/16,GOR,3,RT,1,2
8/17/16,GOR,3,RT,1,4
8/17/16,GOR,3,RT,1,1
8/17/16,GOR,3,RT,1,3
8/17/16,GOR,2,RT,1,3
8/17/16,GOR,2,RT,1,3
8/17/16,GOR,2,RT,1,0
8/17/16,GOR,2,RT,1,1
8/17/16,GOR,2,RT,1,2
8/17/16,GOR,2,RT,1,3
8/17/16,GOR,2,RT,1,2
8/17/16,GOR,2,RT,1,3
8/17/16,GOR,2,RT,1,2
8/17/16,GOR,1,RT,1,1
8/17/16,GOR,1,RT,1,4
8/17/16,GOR,1,RT,1,5
8/17/16,GOR,1,RT,1,2
8/17/16,GOR,1,RT,1,4
8/17/16,GOR,1,RT,1,1
8/17/16,GOR,1,RT,1,5
8/17/16,GOR,1,RT,1,1
8/17/16,GOR,1,RT,1,2
8/17/16,GOR,1,RT,1,1
8/18/16,MOR,0,RT,2,2
8/18/16,MOR,0,RT,2,2
8/18/16,MOR,0,RT,2,2
8/18/16,MOR,0,RT,2,4
8/18/16,MOR,0,RT,2,3
8/18/16,MOR,0,RT,2,1
8/18/16,MOR,0,RT,2,3
8/18/16,MOR,0,RT,2,3
8/18/16,MOR,0,RT,2,1
8/18/16,MOR,0,RT,2,2
8/18/16,MOR,0,RT,2,3
8/18/16,MOR,0,RT,2,0
8/18/16,MOR,0,RT,2,2
8/18/16,MOR,1,RT,2,1
8/18/16,MOR,1,RT,2,2
8/18/16,MOR,1,RT,2,3
8/18/16,MOR,1,RT,2,5
8/18/16,MOR,1,RT,2,1
8/18/16,MOR,1,RT,2,3
8/18/16,MOR,1,RT,2,3
8/18/16,MOR,1,RT,2,2
8/18/16,MOR,1,RT,2,4
8/18/16,MOR,1,RT,2,4
8/18/16,MOR,1,RT,2,2
8/18/16,MOR,1,RT,2,3
8/18/16,MOR,2,RT,2,6
8/18/16,MOR,2,RT,2,1
8/18/16,MOR,2,RT,2,2
8/18/16,MOR,2,RT,2,2
8/18/16,MOR,2,RT,2,3
8/18/16,MOR,2,RT,2,5
8/18/16,MOR,2,RT,2,2
8/18/16,MOR,2,RT,2,2
8/18/16,MOR,2,RT,2,1
8/18/16,MOR,2,RT,2,2
8/18/16,MOR,2,RT,2,2
8/18/16,MOR,2,RT,2,5
8/18/16,MOR,2,RT,2,2
8/18/16,MOR,2,RT,2,2
8/18/16,MOR,3,RT,2,3
8/18/16,MOR,3,RT,2,4
8/18/16,MOR,3,RT,2,2
8/18/16,MOR,3,RT,2,3
8/18/16,MOR,3,RT,2,7
8/18/16,MOR,3,RT,2,3
8/18/16,MOR,3,RT,2,3
8/18/16,MOR,3,RT,2,7
8/18/16,MOR,3,RT,2,3
8/18/16,MOR,3,RT,2,3
8/18/16,MOR,3,RT,2,5
8/18/16,MOR,3,RT,2,2
8/18/16,MOR,3,RT,2,5
8/18/16,MOR,4,RT,2,3
8/18/16,MOR,4,RT,2,3
