date,rookery,section,obs,resample,count
8/21/16,NOR,3,JDB,1,2
8/21/16,NOR,3,JDB,1,3
8/21/16,NOR,2,JDB,1,2
8/21/16,NOR,2,JDB,1,4
8/21/16,NOR,2,JDB,1,2
8/21/16,NOR,2,JDB,1,3
8/21/16,NOR,2,JDB,1,2
8/21/16,NOR,2,JDB,1,5
8/21/16,NOR,2,JDB,1,3
8/21/16,NOR,2,JDB,1,1
8/21/16,NOR,2,JDB,1,3
8/21/16,NOR,2,JDB,1,0
8/21/16,NOR,2,JDB,1,1
8/21/16,NOR,2,JDB,1,3
8/21/16,NOR,2,JDB,1,2
8/21/16,NOR,2,JDB,1,1
8/21/16,NOR,2,JDB,1,2
8/21/16,NOR,1,JDB,1,0
8/21/16,NOR,1,JDB,1,2
8/21/16,NOR,1,JDB,1,4
8/21/16,NOR,1,JDB,1,4
8/21/16,NOR,1,JDB,1,3
8/21/16,NOR,1,JDB,1,8
8/21/16,NOR,1,JDB,1,2
8/21/16,NOR,1,JDB,1,4
8/21/16,STA,1,JTS,1,2
8/21/16,STA,1,JTS,1,1
8/21/16,STA,1,JTS,1,1
8/21/16,STA,1,JTS,1,2
8/21/16,STA,1,JTS,1,4
8/21/16,STA,1,JTS,1,4
8/21/16,STA,1,JTS,1,3
8/21/16,STA,1,JTS,1,2
8/21/16,NOR,1,JTS,1,1
8/21/16,NOR,1,JTS,1,2
8/21/16,NOR,1,JTS,1,2
8/21/16,NOR,1,JTS,1,3
8/21/16,NOR,1,JTS,1,3
8/21/16,NOR,1,JTS,1,4
8/21/16,NOR,1,JTS,1,3
8/21/16,NOR,1,JTS,1,3
8/21/16,NOR,1,JTS,1,2
8/21/16,NOR,1,JTS,1,2
8/21/16,NOR,2,JTS,1,1
8/21/16,NOR,2,JTS,1,2
8/21/16,NOR,2,JTS,1,3
8/21/16,NOR,2,JTS,1,2
8/21/16,NOR,2,JTS,1,1
8/21/16,NOR,2,JTS,1,3
8/21/16,NOR,2,JTS,1,2
8/21/16,NOR,2,JTS,1,2
8/21/16,NOR,2,JTS,1,3
8/21/16,NOR,2,JTS,1,1
8/21/16,NOR,2,JTS,1,5
8/21/16,NOR,2,JTS,1,2
8/21/16,NOR,2,JTS,1,2
8/21/16,NOR,2,JTS,1,1
8/21/16,NOR,2,JTS,1,3
8/21/16,NOR,2,JTS,1,1
8/21/16,NOR,3,JTS,1,2
8/21/16,NOR,3,JTS,1,1
8/21/16,NOR,3,JTS,1,2
8/21/16,NOR,3,JTS,1,2
8/21/16,NOR,3,JTS,1,4
8/21/16,NOR,3,JTS,1,3
8/21/16,NOR,3,JTS,1,5
8/21/16,NOR,3,JTS,1,4
8/21/16,NOR,3,JTS,1,2
8/21/16,NOR,3,JTS,1,1
8/21/16,NOR,3,JTS,1,4
8/21/16,NOR,3,JTS,1,2
8/21/16,NOR,3,JTS,1,2
8/21/16,NOR,4,JTS,1,2
8/21/16,NOR,4,JTS,1,0
8/21/16,NOR,4,JTS,1,4
8/21/16,NOR,4,JTS,1,2
8/21/16,NOR,4,JTS,1,3
8/21/16,NOR,4,JTS,1,4
8/21/16,NOR,4,JTS,1,2
8/21/16,NOR,4,JTS,1,3
8/21/16,NOR,4,JTS,1,1
8/21/16,NOR,4,JTS,1,4
8/21/16,NOR,4,JTS,1,1
8/21/16,NOR,4,JTS,1,3
8/21/16,NOR,4,JTS,1,4
8/21/16,NOR,4,JTS,1,2
8/21/16,NOR,5,JTS,1,2
8/21/16,NOR,5,JTS,1,1
8/21/16,NOR,5,JTS,1,3
8/21/16,NOR,5,JTS,1,1
8/21/16,NOR,5,JTS,1,2
8/21/16,NOR,5,JTS,1,3
8/21/16,NOR,5,JTS,1,1
8/21/16,NOR,5,JTS,1,1
8/21/16,NOR,5,JTS,1,2
8/22/16,ECL,1,JDB,2,3
8/22/16,ECL,1,JDB,2,4
8/22/16,ECL,1,JDB,2,1
8/22/16,ECL,1,JDB,2,4
8/22/16,ECL,1,JDB,2,2
8/22/16,ECL,1,JDB,2,2
8/22/16,ECL,1,JDB,2,6
8/22/16,ECL,1,JDB,2,3
8/22/16,ECL,1,JDB,2,2
8/22/16,ECL,1,JDB,2,2
8/22/16,ECL,1,JDB,2,2
8/22/16,ECL,2,JDB,2,2
8/22/16,ECL,2,JDB,2,5
8/22/16,ECL,2,JDB,2,2
8/22/16,ECL,2,JDB,2,7
8/22/16,ECL,2,JDB,2,2
8/22/16,ECL,2,JDB,2,2
8/22/16,ECL,2,JDB,2,4
8/22/16,ECL,2,JDB,2,3
8/22/16,ECL,2,JDB,2,5
8/22/16,ECL,2,JDB,2,2
8/22/16,ECL,2,JDB,2,2
8/22/16,ECL,1,JDB,2,2
8/22/16,ECL,1,JDB,2,3
8/22/16,ECL,1,JDB,2,4
8/22/16,ECL,1,JDB,2,6
8/22/16,ECL,1,JDB,2,3
8/22/16,ECL,1,JDB,2,4
8/22/16,ECL,1,JDB,2,1
8/22/16,ECL,1,JDB,2,1
8/22/16,ECL,1,JDB,2,0
8/22/16,ECL,1,JDB,2,1
8/22/16,ECL,1,JDB,2,3
8/22/16,ECL,1,JDB,2,2
8/22/16,ECL,1,JDB,2,1
8/22/16,ECL,1,JDB,2,1
8/22/16,ERE,1,JDB,2,2
8/22/16,ERE,1,JDB,2,3
8/22/16,ERE,1,JDB,2,2
8/22/16,ERE,1,JDB,2,3
8/22/16,ERE,1,JDB,2,2
8/22/16,ERE,1,JDB,2,2
8/22/16,ERE,1,JDB,2,0
8/22/16,ERE,1,JDB,2,2
8/22/16,ERE,1,JDB,2,4
8/22/16,ERE,1,JDB,2,2
